arm,density,horizon,n,converged,success,rel_l2_median,rel_l2_min,loss_median,periods_survived_median,tau_median,adam_epochs_median,lbfgs_restarts_median,hours_median,n_points,parked,flow-following,diffuse,periods
base_unw,80.0,40.0,10,10,0,0.9343554907196565,0.9342879418526541,0.02116258093273365,0.3646848847153918,,60500.0,3.0,1.5833194444444447,3200,10,0,0,6.003043369800688
base_unw,320.0,14.0,1,1,1,0.00020622925460381144,0.00020622925460381144,6.681480505809378e-07,2.1010651794302406,,60000.0,7.0,2.0238333333333336,4480,0,0,0,2.1010651794302406
base_unw,320.0,27.0,10,10,0,0.900994468929894,0.9009364798450479,0.03135089331379566,0.3646848847153918,,60000.0,3.0,1.7139444444444445,8640,10,0,0,4.052054274615464
reg_resample_unw,20.0,14.0,10,10,10,0.00011521807196920023,6.081480949020405e-05,4.142973088757907e-07,2.1010651794302406,,60500.0,6.0,0.15190277777777778,280,0,0,0,2.1010651794302406
reg_resample_unw,20.0,27.0,10,8,0,1.7151013733957505,1.2238140617447364,3.553184121037153e-05,0.0022511412636752577,,73125.0,21.5,0.35934722222222226,540,0,6,4,4.052054274615464
reg_resample_unw,20.0,40.0,10,9,0,2.608829335330094,2.036662401844963,0.02539780672831517,0.036768640640029215,,63250.0,14.0,0.27879166666666666,800,0,5,5,6.003043369800688
reg_resample_unw,20.0,67.0,10,10,0,2.6829015145514026,0.9614488664790504,0.03961663113427563,0.06903499875270791,,60500.0,3.0,0.35324999999999995,1340,1,3,6,10.055097644416152
reg_resample_unw,20.0,100.0,10,9,0,3.1645392663305314,3.1268369717068984,0.030672183976593867,0.07053575959515808,,60250.0,3.0,0.5978472222222222,2000,0,2,8,15.007608424501719
reg_resample_unw,80.0,14.0,10,10,10,9.950858393473723e-05,3.370116254382816e-05,2.7868273842368915e-07,2.1010651794302406,,60250.0,7.0,0.30799999999999994,1120,0,0,0,2.1010651794302406
reg_resample_unw,80.0,27.0,9,7,2,1.389703117010479,0.00029236156578843367,0.04868273212994703,0.0750380421225086,,97750.0,7.0,1.3433611111111112,2160,0,0,7,4.052054274615464
reg_resample_unw,80.0,40.0,10,10,0,2.0499095872557,2.0095142709209886,0.05260018159278996,0.07203652043760825,,66750.0,3.0,1.3941805555555558,3200,0,0,10,6.003043369800688
reg_resample_unw,320.0,27.0,3,3,0,1.4471444076219646,1.4093078680194262,0.0515885252024515,0.07353728128005842,,63000.0,6.0,1.7914722222222224,8640,0,0,3,4.052054274615464
